accession,source
JX976769.1,Asplund
GQ404848.1,Asplund
NC_004102.1,Asplund
GU133617.1,Asplund
NC_001434.1,Asplund
NC_001806.2,Asplund
NC_007605.1,Asplund
NC_006273.2,Asplund
NC_001802.1,Asplund
NC_001405.1,Asplund
U06714.1,Asplund
FR751330.1,Asplund
NC_000883.2,Asplund
NC_001436.1,Asplund
HM346515.1,Asplund
CY121132.1,Asplund
JX513003.1,Asplund
NC_004297.1,Asplund
NC_001669.1,Asplund
NC_010277.2,Asplund
NC_003215.1,Asplund
NC_018463.1,Asplund
NC_018476.1,Asplund
NC_015783.1,Asplund
X00578.1,Asplund
NC_001402.1,Asplund
M13179.1,Asplund
NC_015116.1,Asplund
HM582657.1,Asplund
NC_001408.1,Asplund
Z46390.1,Asplund
AY350569.1,Asplund
S74099.1,Asplund
BD265560.1,Asplund
L10923.1,Asplund
L10922.1,Asplund
L10924.1,Asplund
NC_001866.1,Asplund
M92847.1,Asplund
X13744.1,Asplund
X51863.1,Asplund
Y00302.1,Asplund
NC_001403.1,Asplund
X77628.1,Asplund
NC_001407.1,Asplund
J02342.1,Asplund
AF052428.1,Asplund
D10652.1,Asplund
M62407.1,Asplund
D21237.1,Asplund
KC845928.1,Asplund
NC_001618.1,Asplund
NC_008094.1,Asplund
KF170373.1,Asplund
KF214639.1,Asplund
KF214638.1,Asplund
KF214637.1,Asplund
KF214646.1,Asplund
KF214647.1,Asplund
KF214645.1,Asplund
KF214644.1,Asplund
KF214643.1,Asplund
KF214642.1,Asplund
KF214641.1,Asplund
KF214640.1,Asplund
NC_022089.1,Asplund
NC_001501.1,Asplund
NC_001502.1,Asplund
KJ668271.1,Asplund
KF584029.1,Asplund
FJ957930.1,Asplund
JN377566.1,Asplund
JN837698.1,Asplund
NC_025959.1,Asplund
NC_001479.1,Asplund
NC_014326.1,Asplund
NC_024447.1,Asplund
NC_005148.1,Asplund
AB624500.2,Asplund
NC_001961.1,Asplund
AJ011380.1,Asplund
NC_000858.1,Asplund
NC_006151.1,Asplund
AY571851.1,Asplund
NC_005041.2,Asplund
JQ320376.1,Asplund
NC_012685.1,Asplund
JN857345.1,Asplund
NC_015718.1,Asplund
NC_005341.1,Asplund
NC_024451.1,Asplund
NC_023615.1,Asplund
NC_003038.1,Asplund
NC_023613.1,Asplund
NC_015780.1,Asplund
NC_026652.1,Asplund
NC_026625.1,Asplund
NC_021248.1,Asplund
NC_004830.2,Asplund
NC_023428.1,Asplund
NC_023429.1,Asplund
NC_023430.1,Asplund
JX997186.1,Asplund
JX997154.1,Asplund
JX997157.1,Asplund
JX997160.1,Asplund
JX997161.1,Asplund
JX997163.1,Asplund
JX997164.1,Asplund
JX997166.1,Asplund
NC_008603.1,Asplund
JX997167.1,Asplund
DQ195162.1,Asplund
JX997176.1,Asplund
JX997181.1,Asplund
JX997184.1,Asplund
NC_024697.1,Asplund
NC_025707.1,Asplund
NC_024477.1,Asplund
NC_024479.1,Asplund
NC_024481.1,Asplund
HQ704802.1,Asplund
HQ704803.1,Asplund
NC_014766.1,Asplund
NC_021312.1,Asplund
KF008032.1,Asplund
EU889369.1,Asplund
NC_025411.1,Asplund
NC_027196.1,Asplund
NC_013025.1,Asplund
NC_013027.1,Asplund
NC_023843.1,Asplund
NC_026187.1,Asplund
NC_026143.1,Asplund
NC_026258.1,Asplund
NC_026260.1,Asplund
NC_026262.1,Asplund
NC_026264.1,Asplund
NC_026270.1,Asplund
NC_026273.1,Asplund
NC_026274.1,Asplund
NC_026254.1,Asplund
NC_026168.1,Asplund
KJ547640.1,Asplund
NC_028269.1,Asplund
NC_027197.1,Asplund
NC_013116.1,Asplund
KF913885.1,Asplund
NC_023844.1,Asplund
NC_002618.2,Asplund
NC_001801.1,Asplund
NC_003627.1,Asplund
NC_001504.1,Asplund
NC_002792.2,Asplund
NC_003487.1,Asplund
NC_006262.1,Asplund
JF801956.1,Asplund
NC_014649.1,Asplund
NC_020104.1,Asplund
NC_014637.1,Asplund
KF493731.1,Asplund
NC_016072.1,Asplund
JX975216.1,Asplund
JX885207.1,Asplund
JQ063154.1,Asplund
NC_023639.1,Asplund
JF979181.1,Asplund
NC_023423.1,Asplund
KF959826.2,Asplund
AJ421980.1,Asplund
KF510027.1,Asplund
JF781513.1,Asplund
KC248417.1,Asplund
KJ003983.1,Asplund
KF412901.2,Asplund
JN704610.1,Asplund
HQ335087.1,Asplund
KM598395.1,Asplund
KM598396.1,Asplund
KM598390.1,Asplund
HQ704801.1,Asplund
JF755404.1,Asplund
KJ547620.1,Asplund
KJ547622.1,Asplund
KJ547624.1,Asplund
KJ547625.1,Asplund
KJ547630.1,Asplund
KJ547631.1,Asplund
KJ547632.1,Asplund
GQ268816.1,Asplund
JX519263.1,Asplund
AP013538.1,Asplund
GU943075.1,Asplund
KM520335.1,Asplund
GQ404883.1,Asplund
GQ404869.1,Asplund
GQ404872.1,Asplund
NC_023556.1,Asplund
NC_017984.1,Asplund
HM368260.1,Asplund
NC_014661.1,Asplund
JX976549.1,Asplund
NC_028995.1,Asplund
NC_025462.1,Asplund
NC_024785.1,Asplund
NC_027332.1,Asplund
NC_008208.1,Asplund
NC_005135.1,Asplund
NC_015251.1,Asplund
NC_005260.1,Asplund
NC_023688.1,Asplund
NC_019527.1,Asplund
KC595511.2,Asplund
NC_006557.1,Asplund
NC_024216.1,Asplund
NC_023719.1,Asplund
NC_011048.1,Asplund
NC_024788.1,Asplund
KC699836.1,Asplund
AB930182.1,Asplund
NC_019525.1,Asplund
NC_002643.1,Asplund
AY526909.1,Asplund
NC_015254.1,Asplund
NC_019446.1,Asplund
NC_018283.1,Asplund
NC_005262.3,Asplund
NC_005342.2,Asplund
NC_005887.1,Asplund
NC_012743.2,Asplund
NC_005091.2,Asplund
NC_018278.1,Asplund
NC_025422.1,Asplund
NC_018280.1,Asplund
NC_021802.1,Asplund
NC_021791.1,Asplund
KC821615.1,Asplund
KC821625.1,Asplund
NC_021803.1,Asplund
NC_021806.1,Asplund
NC_021795.1,Asplund
NC_021798.1,Asplund
NC_021790.1,Asplund
KC821627.1,Asplund
NC_021794.1,Asplund
NC_021799.1,Asplund
NC_021789.1,Asplund
KC821630.1,Asplund
NC_021796.1,Asplund
NC_021804.1,Asplund
NC_021788.1,Asplund
KC821612.1,Asplund
NC_021800.1,Asplund
NC_021792.1,Asplund
NC_020860.1,Asplund
NC_020842.1,Asplund
NC_025414.1,Asplund
NC_027293.1,Asplund
NC_019508.1,Asplund
NC_011318.1,Asplund
KM983334.1,Asplund
NC_018088.1,Asplund
NC_018276.1,Asplund
NC_023614.1,Asplund
NC_017974.1,Asplund
NC_019400.1,Asplund
NC_019401.1,Asplund
DQ115807.1,Asplund
NC_021071.1,Asplund
NC_020855.1,Asplund
HQ317391.1,Asplund
NC_019516.1,Asplund
HQ634190.1,Asplund
NC_019544.1,Asplund
NC_025452.1,Asplund
JF412294.1,Asplund
JF412295.1,Asplund
JF412296.1,Asplund
JF412302.1,Asplund
JF412297.1,Asplund
NC_026611.1,Asplund
NC_020082.1,Asplund
NC_026665.1,Asplund
NC_023561.1,Asplund
NC_009514.1,Asplund
J02448.1,Asplund
NC_025824.1,Asplund
NC_025425.1,Asplund
NC_019711.1,Asplund
NC_018855.1,Asplund
KF591601.1,Asplund
NC_003287.2,Asplund
NC_023693.1,Asplund
NC_027398.1,Asplund
NC_000866.4,Asplund
NC_001604.1,Asplund
NC_019526.1,Asplund
NC_023579.1,Asplund
NC_019926.1,Asplund
NC_015295.1,Asplund
NC_025830.1,Asplund
NC_027387.1,Asplund
NC_020079.1,Asplund
NC_027381.1,Asplund
NC_027378.1,Asplund
NC_015933.1,Asplund
NC_024790.1,Asplund
NC_006356.2,Asplund
NC_021867.1,Asplund
NC_027125.1,Asplund
KJ018210.1,Asplund
NC_023612.1,Asplund
NC_001998.1,Asplund
NC_025439.1,Asplund
NC_025471.1,Asplund
NC_011142.1,Asplund
NC_029099.1,Asplund
NC_005362.1,Asplund
AF489521.1,Asplund
NC_028900.1,Asplund
NC_024385.1,Asplund
NC_020853.1,Asplund
NC_022790.1,Asplund
NC_018269.1,Asplund
JF974298.1,Asplund
NC_009603.1,Asplund
NC_028986.1,Asplund
NC_023729.1,Asplund
NC_023690.1,Asplund
NC_026590.1,Asplund
JF937101.1,Asplund
NC_004688.1,Asplund
NC_022066.1,Asplund
NC_026589.1,Asplund
NC_024217.1,Asplund
NC_018837.1,Asplund
NC_023865.1,Asplund
NC_020484.1,Asplund
NC_020481.1,Asplund
NC_018272.1,Asplund
NC_018271.1,Asplund
NC_009551.1,Asplund
NC_008367.1,Asplund
NC_016564.1,Asplund
NC_024329.1,Asplund
NC_020845.1,Asplund
NC_015280.1,Asplund
NC_015283.1,Asplund
HQ632825.1,Asplund
NC_015290.1,Asplund
NC_015288.1,Asplund
NC_018851.1,Asplund
NC_018847.1,Asplund
NC_018842.1,Asplund
NC_018840.1,Asplund
NC_018838.1,Asplund
NC_018852.1,Asplund
NC_018841.1,Asplund
NC_018845.1,Asplund
NC_018849.1,Asplund
NC_018839.1,Asplund
NC_018834.1,Asplund
NC_009541.1,Asplund
NC_027371.1,Asplund
NC_015454.1,Asplund
NC_015453.1,Asplund
NC_022338.1,Asplund
JX570711.1,Asplund
NC_022335.1,Asplund
NC_022337.1,Asplund
NC_022342.1,Asplund
NC_022334.1,Asplund
NC_022341.1,Asplund
NC_022340.1,Asplund
JX570708.1,Asplund
NC_015293.1,Asplund
NC_020849.1,Asplund
NC_021300.1,Asplund
NC_007807.1,Asplund
NC_019923.1,Asplund
NC_002484.2,Asplund
NC_019450.1,Asplund
NC_015272.2,Asplund
AB910392.1,Asplund
NC_009936.1,Asplund
NC_018282.1,Asplund
NC_007808.1,Asplund
NC_022096.1,Asplund
NC_015294.2,Asplund
NC_022967.1,Asplund
NC_022966.1,Asplund
NC_005884.1,Asplund
NC_004466.2,Asplund
KM411960.1,Asplund
NC_004629.1,Asplund
NC_028999.1,Asplund
NC_024365.1,Asplund
NC_023601.1,Asplund
NC_016765.1,Asplund
NC_023006.1,Asplund
NC_017971.2,Asplund
LN610572.1,Asplund
NC_019918.1,Asplund
NC_026587.1,Asplund
NC_023575.1,Asplund
NC_026601.1,Asplund
NC_024381.1,Asplund
NC_010116.1,Asplund
NC_020841.1,Asplund
NC_021864.1,Asplund
NC_028988.1,Asplund
NC_022915.1,Asplund
NC_020489.1,Asplund
NC_023735.1,Asplund
NC_002519.1,Asplund
NC_020844.1,Asplund
NC_019540.1,Asplund
NC_021775.1,Asplund
NC_021772.1,Asplund
KC139634.1,Asplund
NC_021782.1,Asplund
NC_013059.1,Asplund
NC_022768.1,Asplund
NC_019417.1,Asplund
NC_027351.1,Asplund
NC_027297.1,Asplund
NC_018279.1,Asplund
NC_015271.1,Asplund
NC_025436.1,Asplund
NC_025470.1,Asplund
NC_025458.1,Asplund
NC_005344.1,Asplund
HQ632855.1,Asplund
NC_029046.1,Asplund
NC_027204.1,Asplund
NC_007902.1,Asplund
NC_019521.1,Asplund
JX080305.2,Asplund
NC_007058.1,Asplund
NC_007021.1,Asplund
NC_023582.1,Asplund
NC_007065.1,Asplund
DQ364602.1,Asplund
NC_010945.1,Asplund
NC_021868.1,Asplund
NC_027396.1,Asplund
NC_019414.1,Asplund
NC_012696.1,Asplund
NC_027299.1,Asplund
NC_023587.1,Asplund
NC_025455.1,Asplund
NC_015463.1,Asplund
NC_015465.1,Asplund
NC_016766.1,Asplund
NC_015569.1,Asplund
NC_023584.1,Asplund
NC_006820.1,Asplund
NC_013085.1,Asplund
NC_020851.1,Asplund
NC_015279.1,Asplund
NC_019930.1,Asplund
NC_009990.1,Asplund
AY456121.1,Asplund
KF689242.1,Asplund
KC131001.1,Asplund
HQ157199.1,Asplund
AB812911.1,Asplund
HM011609.1,Asplund
NC_024711.1,Asplund
FJ695605.1,Asplund
NC_020843.1,Asplund
NC_021067.1,Asplund
NC_021073.1,Asplund
NC_015157.1,Asplund
HQ641346.1,Asplund
NC_024791.1,Asplund
NC_021540.1,Asplund
HQ632860.1,Asplund
NC_028895.1,Asplund
NC_027118.1,Asplund
NC_023605.1,Asplund
NC_019529.1,Asplund
NC_020863.1,Asplund
NC_021534.1,Asplund
NC_021561.1,Asplund
NC_023569.1,Asplund
NC_020868.1,Asplund
KJ936628.1,Asplund
NC_003907.2,Asplund
NC_020488.1,Asplund
JN849462.1,Asplund
NC_020205.1,Asplund
AJ972879.2,Asplund
OR537218,Duan
OR537220,Duan
OR537221,Duan
OR537222,Duan
MZ824229,Porter
MZ824228,Porter
MZ824227,Porter
MZ824226,Porter
MZ824225,Porter
MZ824230,Porter
MZ824237,Porter
MZ824236,Porter
MZ824235,Porter
MZ824234,Porter
MZ824233,Porter
MZ824232,Porter
MZ824231,Porter